map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
80,120711150,-13.2457142,35.53325707,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
81,120711150,-13.27656405,35.50658938,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
82,120711150,-13.30788843,35.48027887,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
83,120711150,-13.33919811,35.45394957,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
84,120711150,-12.79365062,35.88847966,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
85,120711150,-12.75973509,35.91242327,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
86,120712150,-9.2151853,38.68468333,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
87,120712150,-9.17109673,38.69100956,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
88,120712150,-9.25763496,38.68795146,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
89,120712150,-9.12850258,38.70137622,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
90,120712150,-9.33117157,38.65164756,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
91,120712150,-9.36398895,38.6278869,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
92,120712150,-9.39709829,38.60414886,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
93,120712150,-9.29806609,38.67536667,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
94,120714150,-9.38898632,38.61252426,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
